rank	count	tag
333	1	Style: Dark Ambient Trance, Binaural beats background, Deep male vocals,  Sanskr
334	1	Style: Desi Trap, Indian Hip Hop, Dark Trap, 140 BPM, male autotuned rap, heavy
335	1	Style: Hard Philosophical Rap / Divine Hip-Hop Tempo: 95 BPM Key: D minor Mood:
336	1	Style: Haryanvi Folk Ragni, Jogi Spiritual Crow Anthem, Human Voice Driven, Fig
337	1	Style: Haryanvi Ragni + Hip-Hop Rap (Climax Section)   Tempo: 95 BPM   Energy: H
338	1	Style: Indian Devotional Bhakti, Raag Yaman, slow tempo (60–65 BPM), cinematic s
339	1	Style: radio sanaatana telecast
340	1	Style: Raga Bhairavi, Raga Yaman, Raga Malkauns, Sufi fusion, Rajasthani folk,
341	1	Style: world fusion, spiritual awakening, slow sufi ghazal, cinematic ambient, n
342	1	Sufi Qawwali, Nirguni Bhajan, Raga Todi, Harmonium, Tabla Keherva, Male Passiona
343	1	Sufi, Indian Folk, Acoustic Lullaby, Soft Male Vocals, Harmonium, Tabla, Sitar,
344	1	Tempo: 95 BPM Cosmic Hip-Hop  Instruments:  temple bells  mridangam  ancient lyr
345	1	title mne meऋ भारत माँ  swatantra yantra folk ballad  genre  style haryanvi folk
346	1	title Pop, Indie Pop tapasya  upanishadic epic rap  prompt  cinematic spiritual
347	1	TITLE: **“NAAD BRAHM: 31 RAAG NEURAL JOGI ALBUM”**  STYLE: Indian Folk (Haryanvi
348	1	Title: The Birth of Speech  Genre: Vedic cinematic epic, spiritual world music
349	1	TITLE: Triveni Naad – Inner Jogi Duet  [STYLE: Indian Folk Jogi Ragni + Gurbani
350	1	trance hip-hop haryanvi flavour use train whistle and station ambiances. unique
351	1	Upanishadic Epic Rap, cinematic Vedic hip-hop, deep bass, powerful taiko drums,
352	1	Vedantic cosmic Indian folk theatre song, female mystical lead voice, male drama
353	1	Vedic Industrial Rock, Nu-Metal, Indian Raga Hansadhwani on Bansuri flute, Cinem
354	1	voice  ओवर
355	1	World music fusion, cinematic spiritual folk, Indian classical meets Celtic and
356	1	ye ek maa ke shbd hai bhai shab apne bete ke liye jiska beta balidan hua hai des
357	1	Zen-Drill x Afro-Phonk. 110 BPM. Soundscape: शुरुआत एक बहुत ही शांत 'Tibetan Bow
358	1	अद्वैत अद्वैत द्वैत द वैत त  द्वैतत तत तत तत तट त्री कट ट्री कट कट त्रिकट रिकट र
359	1	आप सुन रहे हैं रेडियो सनातन वैज्ञानिक
360	1	इस गाने की शुरुआत शांत श्लोक से करें, फिर अचानक "महादेव तेरी सरकार" पर एक रॉक-स्
361	1	इस रचना के लिए 'राग भैरवी' और 'राग जोगिया' का मिश्रण सबसे सटीक है, जिसमें 'राग व
362	1	गीत का शीर्षक: धूमिल अक्स शैली: कॉन्शियस हिप-हॉप (Conscious Hip-Hop) बीट: भारी 8
363	1	गीत का शीर्षक: बंद आँखों का प्रत्यक्ष [style: Indian folk, bhajan, slow-medium
364	1	डीजे सुपर फंकी. fun   ,,,
365	1	ताल और नाद: वाद्यों (संगीत यंत्रों) से ताल लगाने को कहना उस 'नाद' को पैदा करने क
366	1	धरती का नून DHARTI KA NOON — Full Adlib & Reverb Annotated Score BPM / Tempo 72
367	1	ध्वनि का स्तर: इसे 8D साउंड में अनुभव करें, जहाँ 'राग माता' के सुर आपके चारों ओर
368	1	फंक
369	1	मलंगों का ग्रुप एक भविष्य के ट्रेन स्टेशन पर ट्रेन स्टेशन उद्गोषण  Style: Haryan
370	1	मुखड़ा हर अंतरे के बाद दोहराओ  भीड़ से बुलवाओ: “दुनिया में ते खो देगा तन्ने…”  न
371	1	वाद्य:  ढोलक – मुख्य ताल  नगाड़ा – मुखड़े पर जोर  सारंगी – भावपूर्ण हिस्से  बीन
372	1	वैदिक रॉक
373	1	वोकल्स (Vocals): रागिनी में गायक की आवाज़ बहुत ऊँची (High Pitch) और कड़क होती है।
374	1	शीर्षक: १०० साल (हिस्स्स... टोरी) Style: Dark Experimental Folk-Trap. Descriptio
375	1	सुपर फंकी फुल नौटंकी
376	1	सुपर फ़न फंकी कुतिया कुक्कुर रैप अंदर तक फ़न। हास्य और ज्ञान का भाव। गंभीर बात व
377	1	हैवी base male। १ मिनट
